id,price_range
1,2
2,0
3,1
4,3
5,0
6,0
7,1
8,2
9,0
10,1
11,1
12,2
13,2
14,3
15,1
16,2
17,2
18,0
19,2
20,0
21,3
22,2
23,2
24,1
25,1
26,1
27,1
28,0
29,0
30,0
31,2
32,0
33,2
34,1
35,3
36,2
37,2
38,0
39,0
40,0
41,3
42,0
43,0
44,1
45,0
46,1
47,0
48,3
49,3
50,0
51,0
52,1
53,2
54,0
55,1
56,1
57,3
58,2
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,2
67,2
68,2
69,1
70,3
71,0
72,2
73,0
74,2
75,3
76,0
77,1
78,2
79,0
80,1
81,0
82,1
83,1
84,2
85,0
86,2
87,0
88,0
89,0
90,1
91,1
92,2
93,0
94,3
95,0
96,0
97,3
98,1
99,2
100,1
101,0
102,3
103,0
104,3
105,0
106,1
107,3
108,1
109,0
110,1
111,1
112,2
113,1
114,1
115,2
116,0
117,0
118,3
119,3
120,2
121,0
122,0
123,1
124,0
125,2
126,2
127,2
128,0
129,2
130,3
131,0
132,2
133,1
134,0
135,3
136,2
137,0
138,3
139,1
140,2
141,1
142,0
143,0
144,3
145,0
146,3
147,3
148,0
149,3
150,0
151,0
152,2
153,2
154,1
155,2
156,1
157,3
158,0
159,0
160,0
161,2
162,1
163,3
164,3
165,3
166,0
167,1
168,1
169,3
170,0
171,0
172,0
173,2
174,2
175,1
176,2
177,0
178,3
179,0
180,1
181,3
182,1
183,1
184,3
185,0
186,3
187,3
188,3
189,2
190,1
191,2
192,3
193,2
194,2
195,2
196,1
197,2
198,1
199,3
200,0
201,0
202,0
203,2
204,1
205,1
206,2
207,3
208,3
209,1
210,0
211,0
212,3
213,0
214,3
215,0
216,3
217,1
218,1
219,1
220,0
221,2
222,1
223,2
224,1
225,1
226,2
227,2
228,0
229,3
230,0
231,3
232,1
233,1
234,2
235,0
236,2
237,1
238,0
239,1
240,0
241,3
242,0
243,3
244,0
245,1
246,1
247,2
248,0
249,2
250,0
251,0
252,2
253,1
254,0
255,2
256,1
257,3
258,1
259,1
260,3
261,1
262,1
263,0
264,0
265,3
266,0
267,3
268,0
269,2
270,0
271,1
272,3
273,2
274,1
275,2
276,3
277,2
278,3
279,1
280,0
281,2
282,2
283,1
284,2
285,3
286,2
287,1
288,1
289,0
290,1
291,3
292,1
293,2
294,1
295,2
296,2
297,2
298,0
299,0
300,2
301,0
302,0
303,3
304,3
305,2
306,3
307,1
308,2
309,1
310,3
311,3
312,0
313,0
314,2
315,3
316,0
317,3
318,3
319,0
320,1
321,1
322,2
323,1
324,3
325,3
326,3
327,0
328,0
329,0
330,0
331,0
332,3
333,3
334,0
335,0
336,0
337,0
338,0
339,0
340,1
341,0
342,1
343,0
344,0
345,2
346,3
347,2
348,1
349,2
350,1
351,3
352,0
353,1
354,2
355,0
356,3
357,1
358,3
359,3
360,3
361,3
362,0
363,2
364,1
365,3
366,1
367,0
368,1
369,0
370,3
371,1
372,0
373,2
374,0
375,2
376,2
377,0
378,2
379,2
380,3
381,1
382,0
383,3
384,2
385,3
386,0
387,0
388,3
389,3
390,0
391,0
392,1
393,2
394,0
395,1
396,0
397,3
398,3
399,0
400,0
401,0
402,1
403,3
404,1
405,0
406,0
407,2
408,3
409,1
410,1
411,3
412,2
413,1
414,2
415,1
416,3
417,1
418,2
419,0
420,1
421,1
422,0
423,2
424,0
425,1
426,2
427,3
428,1
429,3
430,3
431,1
432,3
433,1
434,3
435,0
436,1
437,1
438,0
439,0
440,0
441,1
442,1
443,2
444,1
445,1
446,3
447,2
448,2
449,0
450,0
451,1
452,0
453,1
454,1
455,0
456,1
457,1
458,0
459,3
460,3
461,0
462,3
463,3
464,0
465,3
466,1
467,1
468,3
469,3
470,3
471,1
472,2
473,0
474,3
475,3
476,3
477,2
478,2
479,3
480,2
481,1
482,3
483,0
484,1
485,3
486,3
487,0
488,3
489,0
490,3
491,3
492,3
493,3
494,2
495,1
496,0
497,0
498,0
499,1
500,3
501,0
502,0
503,2
504,3
505,3
506,2
507,2
508,0
509,3
510,0
511,0
512,3
513,0
514,1
515,2
516,3
517,1
518,0
519,2
520,0
521,3
522,0
523,2
524,2
525,2
526,2
527,1
528,1
529,1
530,3
531,0
532,1
533,0
534,2
535,3
536,0
537,0
538,0
539,3
540,3
541,3
542,3
543,1
544,3
545,3
546,0
547,1
548,1
549,0
550,1
551,3
552,1
553,1
554,2
555,3
556,0
557,3
558,0
559,3
560,1
561,2
562,2
563,1
564,3
565,3
566,2
567,0
568,3
569,3
570,0
571,3
572,0
573,1
574,1
575,0
576,1
577,0
578,2
579,0
580,0
581,2
582,3
583,2
584,1
585,0
586,3
587,2
588,1
589,3
590,3
591,1
592,1
593,3
594,2
595,2
596,2
597,2
598,1
599,1
600,3
601,0
602,2
603,3
604,1
605,3
606,3
607,1
608,1
609,3
610,0
611,3
612,3
613,1
614,1
615,2
616,1
617,3
618,0
619,1
620,1
621,3
622,2
623,0
624,1
625,3
626,2
627,3
628,0
629,0
630,2
631,2
632,2
633,3
634,3
635,1
636,0
637,0
638,0
639,3
640,3
641,2
642,3
643,3
644,2
645,2
646,3
647,0
648,1
649,2
650,1
651,3
652,3
653,2
654,2
655,2
656,2
657,3
658,1
659,1
660,3
661,2
662,3
663,3
664,2
665,1
666,0
667,1
668,1
669,3
670,1
671,2
672,0
673,0
674,2
675,3
676,1
677,2
678,1
679,0
680,3
681,1
682,2
683,0
684,3
685,3
686,3
687,3
688,2
689,3
690,3
691,3
692,1
693,2
694,3
695,2
696,0
697,0
698,0
699,0
700,3
701,3
702,0
703,3
704,3
705,1
706,1
707,3
708,0
709,0
710,2
711,1
712,0
713,3
714,2
715,3
716,1
717,3
718,1
719,3
720,3
721,3
722,2
723,1
724,1
725,1
726,0
727,1
728,1
729,2
730,0
731,1
732,1
733,3
734,1
735,3
736,0
737,0
738,1
739,0
740,3
741,2
742,0
743,3
744,1
745,1
746,2
747,3
748,0
749,2
750,1
751,1
752,0
753,3
754,3
755,2
756,3
757,3
758,3
759,3
760,2
761,1
762,0
763,0
764,0
765,3
766,3
767,3
768,0
769,2
770,3
771,3
772,0
773,1
774,0
775,0
776,0
777,0
778,2
779,1
780,2
781,3
782,3
783,2
784,2
785,0
786,1
787,3
788,3
789,1
790,0
791,3
792,1
793,2
794,2
795,3
796,1
797,3
798,0
799,1
800,1
801,2
802,3
803,3
804,0
805,1
806,3
807,0
808,1
809,3
810,0
811,3
812,1
813,0
814,3
815,3
816,3
817,1
818,1
819,2
820,1
821,0
822,2
823,3
824,2
825,3
826,3
827,0
828,2
829,3
830,3
831,3
832,3
833,1
834,3
835,1
836,0
837,1
838,0
839,2
840,2
841,3
842,1
843,3
844,2
845,1
846,3
847,2
848,0
849,3
850,3
851,2
852,3
853,3
854,1
855,2
856,0
857,1
858,3
859,0
860,3
861,3
862,0
863,1
864,0
865,0
866,3
867,0
868,0
869,0
870,0
871,2
872,3
873,3
874,3
875,0
876,0
877,1
878,0
879,0
880,1
881,1
882,3
883,2
884,2
885,3
886,3
887,3
888,3
889,3
890,0
891,3
892,2
893,3
894,2
895,3
896,1
897,3
898,1
899,0
900,1
901,2
902,3
903,0
904,3
905,3
906,3
907,3
908,1
909,3
910,1
911,1
912,1
913,3
914,3
915,2
916,1
917,3
918,1
919,3
920,2
921,2
922,3
923,2
924,1
925,3
926,3
927,0
928,0
929,1
930,3
931,2
932,1
933,3
934,0
935,3
936,0
937,3
938,1
939,3
940,3
941,3
942,1
943,3
944,0
945,1
946,2
947,1
948,1
949,3
950,2
951,0
952,0
953,1
954,2
955,3
956,3
957,3
958,3
959,1
960,0
961,3
962,3
963,2
964,3
965,3
966,3
967,1
968,3
969,1
970,0
971,1
972,0
973,2
974,3
975,3
976,3
977,0
978,2
979,1
980,1
981,2
982,1
983,3
984,3
985,2
986,3
987,0
988,1
989,1
990,3
991,1
992,2
993,3
994,3
995,1
996,1
997,3
998,1
999,1
1000,1
